asset_rank,asset_final_score,asset_id,template_id,original_mint_number,surviving_mint_rank,template_final_score
325,67.0544,1099642207766,441677,49,49,67.4684
326,67.0544,1099659329497,449935,49,49,67.4684
327,66.9859,1099636300539,438904,51,51,52.9319
328,66.9761,1099629283890,435457,43,43,51.1412
329,66.957,1099788221653,458168,17,17,72.9986
330,66.9007,1099651222568,445272,50,50,67.3631
331,66.8903,1099636300540,438904,52,52,52.9319
332,66.8877,1099629283891,435457,44,44,51.1412
333,66.7995,1099629283892,435457,45,45,51.1412
334,66.7949,1099636300541,438904,53,53,52.9319
335,66.7748,1099642207767,441677,50,50,67.4684
336,66.7748,1099659329498,449935,50,50,67.4684
337,66.7645,1099667784784,453934,35,35,70.3652
338,66.7111,1099629283893,435457,46,46,51.1412
339,66.6995,1099636300542,438904,54,54,52.9319
340,66.6247,1099651222569,445272,51,51,67.3631
341,66.6229,1099629283894,435457,47,47,51.1412
342,66.6039,1099636300543,438904,55,55,52.9319
343,66.5345,1099629283895,435457,48,48,51.1412
344,66.5085,1099636335020,438904,56,56,52.9319
345,66.495,1099642207768,441677,51,51,67.4684
346,66.495,1099659329499,449935,51,51,67.4684
347,66.4771,1099595898024,401767,10,10,94.1285
348,66.4463,1099629283896,435457,49,49,51.1412
349,66.4131,1099636335021,438904,57,57,52.9319
350,66.3579,1099629283897,435457,50,50,51.1412
351,66.3489,1099651222570,445272,52,52,67.3631
352,66.3175,1099636335022,438904,58,58,52.9319
353,66.3101,1099667784785,453934,36,36,70.3652
354,66.2697,1099629283898,435457,51,51,51.1412
355,66.2243,1099809649275,401786,16,16,93.7071
356,66.2221,1099636335023,438904,59,59,52.9319
357,66.2152,1099642207769,441677,52,52,67.4684
358,66.2152,1099659329500,449935,52,52,67.4684
359,66.1813,1099629283899,435457,52,52,51.1412
360,66.1267,1099636335024,438904,60,60,52.9319
361,66.0931,1099629283900,435457,53,53,51.1412
362,66.0731,1099651222571,445272,53,53,67.3631
363,66.0311,1099636335025,438904,61,61,52.9319
364,66.0047,1099629283901,435457,54,54,51.1412
365,65.9357,1099636335026,438904,62,62,52.9319
366,65.9356,1099642207770,441677,53,53,67.4684
367,65.9356,1099659329501,449935,53,53,67.4684
368,65.9165,1099629283902,435457,55,55,51.1412
369,65.9044,1099812061084,458168,18,18,72.9986
370,65.8555,1099667784786,453934,37,37,70.3652
371,65.8403,1099636335027,438904,63,63,52.9319
372,65.8281,1099629357013,435457,56,56,51.1412
373,65.7973,1099651222572,445272,54,54,67.3631
374,65.7447,1099636335028,438904,64,64,52.9319
375,65.7399,1099629357163,435457,57,57,51.1412
376,65.7309,1099809598825,401779,14,14,93.8651
377,65.6558,1099642207771,441677,54,54,67.4684
378,65.6558,1099659329502,449935,54,54,67.4684
379,65.6515,1099629357273,435457,58,58,51.1412
380,65.6493,1099636335029,438904,65,65,52.9319
381,65.5633,1099629357355,435457,59,59,51.1412
382,65.5539,1099636335037,438904,66,66,52.9319
383,65.5213,1099651222573,445272,55,55,67.3631
384,65.4749,1099629357381,435457,60,60,51.1412
385,65.4583,1099636335038,438904,67,67,52.9319
386,65.4009,1099667784787,453934,38,38,70.3652
387,65.3867,1099629360764,435457,61,61,51.1412
388,65.3762,1099642207772,441677,55,55,67.4684
389,65.3762,1099659329503,449935,55,55,67.4684
390,65.3629,1099636335047,438904,68,68,52.9319
391,65.2983,1099629361062,435457,62,62,51.1412
392,65.2675,1099636335048,438904,69,69,52.9319
393,65.2455,1099651255283,445272,56,56,67.3631
394,65.2101,1099629363792,435457,63,63,51.1412
395,65.1719,1099636335068,438904,70,70,52.9319
396,65.1217,1099629365032,435457,64,64,51.1412
397,65.0964,1099643442822,441677,56,56,67.4684
398,65.0964,1099659366873,449935,56,56,67.4684
399,65.0765,1099636335127,438904,71,71,52.9319
400,65.0335,1099629376939,435457,65,65,51.1412
401,64.9811,1099636335128,438904,72,72,52.9319
402,64.9697,1099651255369,445272,57,57,67.3631
403,64.9463,1099667784788,453934,39,39,70.3652
404,64.9451,1099629377030,435457,66,66,51.1412
405,64.8855,1099636335129,438904,73,73,52.9319
406,64.8569,1099629387130,435457,67,67,51.1412
407,64.8518,1099812097553,458168,19,19,72.9986
408,64.8166,1099643443133,441677,57,57,67.4684
409,64.8166,1099659367249,449935,57,57,67.4684
410,64.7901,1099636335130,438904,74,74,52.9319
411,64.7685,1099629387195,435457,68,68,51.1412
412,64.6947,1099636335131,438904,75,75,52.9319
413,64.6937,1099651256148,445272,58,58,67.3631
414,64.6803,1099629387236,435457,69,69,51.1412
415,64.5991,1099636335132,438904,76,76,52.9319
416,64.5919,1099629388337,435457,70,70,51.1412
417,64.537,1099643443337,441677,58,58,67.4684
418,64.537,1099659367664,449935,58,58,67.4684
419,64.5037,1099636335133,438904,77,77,52.9319
420,64.5037,1099629391973,435457,71,71,51.1412
421,64.4919,1099667784789,453934,40,40,70.3652
422,64.4179,1099651263716,445272,59,59,67.3631
423,64.4153,1099629420276,435457,72,72,51.1412
424,64.4083,1099636335134,438904,78,78,52.9319
425,64.3271,1099629975191,435457,73,73,51.1412
426,64.3127,1099636335135,438904,79,79,52.9319
427,64.2572,1099643443501,441677,59,59,67.4684
428,64.2572,1099659367926,449935,59,59,67.4684
429,64.2387,1099630136424,435457,74,74,51.1412
430,64.2243,1099825711609,401786,17,17,93.7071
431,64.2173,1099636335136,438904,80,80,52.9319
432,64.1505,1099630990535,435457,75,75,51.1412
433,64.1421,1099651267098,445272,60,60,67.3631
434,64.1219,1099636335137,438904,81,81,52.9319
435,64.0621,1099630990710,435457,76,76,51.1412
436,64.0373,1099667784790,453934,41,41,70.3652
437,64.0265,1099636335138,438904,82,82,52.9319
438,63.9776,1099643443566,441677,60,60,67.4684
439,63.9776,1099659372837,449935,60,60,67.4684
440,63.9739,1099631077871,435457,77,77,51.1412
441,63.9309,1099636335139,438904,83,83,52.9319
442,63.8855,1099631833269,435457,78,78,51.1412
443,63.8661,1099651278844,445272,61,61,67.3631
444,63.8355,1099636335140,438904,84,84,52.9319
445,63.7992,1099812097554,458168,20,20,72.9986
446,63.7973,1099638225975,435457,79,79,51.1412
447,63.7401,1099636335141,438904,85,85,52.9319
448,63.7089,1099638225976,435457,80,80,51.1412
449,63.6978,1099643443876,441677,61,61,67.4684
450,63.6978,1099659388704,449935,61,61,67.4684
451,63.6445,1099636335142,438904,86,86,52.9319
452,63.6207,1099638225977,435457,81,81,51.1412
453,63.5903,1099651308691,445272,62,62,67.3631
454,63.5827,1099667784791,453934,42,42,70.3652
455,63.5491,1099636335143,438904,87,87,52.9319
456,63.5323,1099638225978,435457,82,82,51.1412
457,63.4537,1099636335144,438904,88,88,52.9319
458,63.4441,1099638225979,435457,83,83,51.1412
459,63.418,1099643444067,441677,62,62,67.4684
460,63.418,1099659409248,449935,62,62,67.4684
461,63.3779,1099809648024,401779,15,15,93.8651
462,63.3581,1099636335145,438904,89,89,52.9319
463,63.3557,1099638225980,435457,84,84,51.1412
464,63.3145,1099651308716,445272,63,63,67.3631
465,63.2675,1099638225981,435457,85,85,51.1412
466,63.2627,1099636335146,438904,90,90,52.9319
467,63.1791,1099638225982,435457,86,86,51.1412
468,63.1673,1099636335170,438904,91,91,52.9319
469,63.1437,1099595898025,401767,11,11,94.1285
470,63.1384,1099643446284,441677,63,63,67.4684
471,63.1384,1099659499270,449935,63,63,67.4684
472,63.1281,1099667784792,453934,43,43,70.3652
473,63.0909,1099638225983,435457,87,87,51.1412
474,63.0717,1099636335171,438904,92,92,52.9319
475,63.0385,1099651308925,445272,64,64,67.3631
476,63.0025,1099638225984,435457,88,88,51.1412
477,62.9763,1099636335172,438904,93,93,52.9319
478,62.9143,1099638225985,435457,89,89,51.1412
479,62.8809,1099636335173,438904,94,94,52.9319
480,62.8586,1099643446693,441677,64,64,67.4684
481,62.8586,1099660562326,449935,64,64,67.4684
482,62.8259,1099638225986,435457,90,90,51.1412
483,62.7853,1099636335174,438904,95,95,52.9319
484,62.7627,1099651313211,445272,65,65,67.3631
485,62.7466,1099812097555,458168,21,21,72.9986
486,62.7377,1099638225987,435457,91,91,51.1412
487,62.6899,1099636335175,438904,96,96,52.9319
488,62.6737,1099667784793,453934,44,44,70.3652
489,62.6493,1099638225988,435457,92,92,51.1412
490,62.5945,1099636335176,438904,97,97,52.9319
491,62.579,1099643448064,441677,65,65,67.4684
492,62.579,1099660924229,449935,65,65,67.4684
493,62.5611,1099638225989,435457,93,93,51.1412
494,62.4989,1099636335177,438904,98,98,52.9319
495,62.4869,1099651321325,445272,66,66,67.3631
496,62.4727,1099638225990,435457,94,94,51.1412
497,62.4035,1099636335178,438904,99,99,52.9319
498,62.3845,1099638225991,435457,95,95,51.1412
499,62.3081,1099636335179,438904,100,100,52.9319
500,62.2992,1099643448816,441677,66,66,67.4684
501,62.2992,1099660924230,449935,66,66,67.4684
502,62.2961,1099638225992,435457,96,96,51.1412
503,62.2243,1099835057291,401786,18,18,93.7071
504,62.2191,1099667784794,453934,45,45,70.3652
505,62.2125,1099636335193,438904,101,101,52.9319
506,62.2111,1099651328229,445272,67,67,67.3631
507,62.2079,1099638225993,435457,97,97,51.1412
508,62.1195,1099638225994,435457,98,98,51.1412
509,62.1171,1099636335194,438904,102,102,52.9319
510,62.0313,1099638225995,435457,99,99,51.1412
511,62.0217,1099636335205,438904,103,103,52.9319
512,62.0194,1099643449068,441677,67,67,67.4684
513,62.0194,1099660924231,449935,67,67,67.4684
514,61.9429,1099638225996,435457,100,100,51.1412
515,61.9351,1099651329083,445272,68,68,67.3631
516,61.9261,1099636335206,438904,104,104,52.9319
517,61.8547,1099638225997,435457,101,101,51.1412
518,61.8307,1099636335208,438904,105,105,52.9319
519,61.7663,1099638225998,435457,102,102,51.1412
520,61.7645,1099667784795,453934,46,46,70.3652
521,61.7398,1099643449216,441677,68,68,67.4684
522,61.7398,1099660924232,449935,68,68,67.4684
523,61.7353,1099636335209,438904,106,106,52.9319
524,61.694,1099812451084,458168,22,22,72.9986
525,61.6781,1099638225999,435457,103,103,51.1412
526,61.6593,1099651329150,445272,69,69,67.3631
527,61.6397,1099636335217,438904,107,107,52.9319
528,61.5897,1099638226000,435457,104,104,51.1412
529,61.5443,1099636335218,438904,108,108,52.9319
530,61.5015,1099638226001,435457,105,105,51.1412
531,61.46,1099643449224,441677,69,69,67.4684
532,61.46,1099660924233,449935,69,69,67.4684
533,61.4489,1099636335236,438904,109,109,52.9319
534,61.4131,1099638226002,435457,106,106,51.1412
535,61.3835,1099651354609,445272,70,70,67.3631
536,61.3533,1099636335314,438904,110,110,52.9319
537,61.3249,1099638226003,435457,107,107,51.1412
538,61.3101,1099667784796,453934,47,47,70.3652
539,61.2579,1099636335427,438904,111,111,52.9319
540,61.2365,1099638226004,435457,108,108,51.1412
541,61.1804,1099643449254,441677,70,70,67.4684
542,61.1804,1099661096441,449935,70,70,67.4684
543,61.1625,1099636335428,438904,112,112,52.9319
544,61.1483,1099638226005,435457,109,109,51.1412
545,61.1075,1099651359512,445272,71,71,67.3631
546,61.0669,1099636335438,438904,113,113,52.9319
547,61.0599,1099638226006,435457,110,110,51.1412
548,61.0249,1099815003841,401779,16,16,93.8651
549,60.9717,1099638226007,435457,111,111,51.1412
550,60.9715,1099636335450,438904,114,114,52.9319
551,60.9006,1099643449275,441677,71,71,67.4684
552,60.9006,1099661098866,449935,71,71,67.4684
